名称,資材番号,面積,ソート順
L金具１,990175M,230.0,
L金具２,990175M,300.0,
L金具３,990175M,299.0,
L金具４,990175M,525.0,
ハゴ板５,990175M,300.0,
ハゴ板６,990175M,450.0,
L金具７,990175M,375.0,
L金具８,990175M,405.0,
L金具９,990175M,450.0,
L金具１０,990175M,525.0,
L金具１２,990175M,630.0,
L金具１３,990175M,630.0,
L金具１４,990175M,558.0,
L金具１５,990175M,840.0,
L金具１６,990175M,675.0,
L金具１７,990175M,1860.0,
L金具１８,990175M,1860.0,
L金具１９,990175M,1550.0,
L金具２０,990175M,594.0,
HNW３０,990175M,2295.0,
HNW４０,990175M,2595.0,
HNW45.4,990175M,2775.0,
HNW５０,990175M,2895.0,
HNW６０,990175M,3195.0,
HNW７０,990175M,3495.0,
HNW８０,990175M,3795.0,
HNW100,990175M,4395.0,
M8HNW30,990175M,2265.0,
M8HNW40,990175M,2565.0,
M8HNW50,990175M,2865.0,
M8HNW60,990175M,3165.0,
M8HNW70,990175M,3465.0,
M8HNW80,990175M,3765.0,
M8HNW90,990175M,4065.0,
M8HNW100L,990175M,4365.0,
コの字M8用100L,990175M,4365.0,
M10HNW３０,990175M,1905.0,
M10HNW４０,990175M,2505.0,
M10HNW５０,990175M,2805.0,
M10HNW60,990175M,3105.0,
M10HNW70,990175M,3405.0,
M10HNW80,990175M,3705.0,
M10HNW90,990175M,4005.0,
M10HNW100,990175M,4305.0,
大都産業コの字,990175M,3555.0,
２０用HT-1,990175M,1020.0,
２５用HT-1,990175M,1320.0,
３０用HT-1,990175M,1220.0,
３５用HT-1,990175M,1320.0,
４０用HT-1,990175M,2025.0,
５０用HT-1,990175M,3030.0,
リブ,990175M,4089.0,
あなぶき金具,990330,5775.0,
Lピース１０,990160B,400.0,
Lピース３０,990160B,1800.0,
Lピース４０,990160B,1600.0,
光漏れA,990160B,1200.0,
光漏れB,990160B,1000.0,
光防止A,990160B,1200.0,
光防止B,990160B,1000.0,
外注１５,990163M,375.0,
外注２０,990163M,510.0,
